Time,Pedestrian1_X,Pedestrian1_Y,Pedestrian1_Z,Pedestrian2_X,Pedestrian2_Y,Pedestrian2_Z,Car1_X,Car1_Y,Car1_Z,Car2_X,Car2_Y,Car2_Z,Car3_X,Car3_Y,Car3_Z,Car4_X,Car4_Y,Car4_Z,Car5_X,Car5_Y,Car5_Z
165,9000,-45,19000,10000,-45,19000,4000,13000,-5111,4000,8000,-5111,6000,13000,-5111,2000,8000,-5111,3000,13000,-5111
170,9000,-45,0,10000,-45,0,3000,13000,-5111,3000,8000,-5111,5000,13000,-5111,2000,8000,-5111,2000,13000,-5111
175,9000,-45,0,10000,-45,0,2000,13000,-5111,2000,8000,-5111,4000,13000,-5111,0,8000,-5111,1000,13000,-5111
180,9000,-45,0,10000,-45,0,1000,13000,-5111,1000,8000,-5111,3000,13000,-5111,18000,8000,-5111,0,13000,-5111
185,9000,-45,0,10000,-45,0,0,13000,-5111,0,8000,-5111,2000,13000,-5111,16000,8000,-5111,19000,13000,-5111
190,9000,-45,0,10000,-45,0,19000,13000,-5111,19000,8000,-5111,1000,13000,-5111,14000,8000,-5111,18000,13000,-5111
195,9000,-45,0,10000,-45,0,18000,13000,-5111,18000,8000,-5111,0,13000,-5111,12000,8000,-5111,17000,13000,-5111
200,9000,-45,0,10000,-45,0,17000,13000,-5111,17000,8000,-5111,19000,13000,-5111,10000,8000,-5111,16000,13000,-5111
205,9000,-45,0,10000,-45,0,16000,13000,-5111,16000,8000,-5111,18000,13000,-5111,8000,8000,-5111,15000,13000,-5111
210,9000,-45,0,10000,-45,0,15000,13000,-5111,15000,8000,-5111,17000,13000,-5111,6000,8000,-5111,14000,13000,-5111
215,9000,-45,0,10000,-45,0,14000,13000,-5111,14000,8000,-5111,16000,13000,-5111,4000,8000,-5111,13000,13000,-5111
220,9000,-45,0,10000,-45,0,13000,13000,-5111,13000,8000,-5111,15000,13000,-5111,2000,8000,-5111,12000,13000,-5111
225,9000,-45,1000,10000,-45,1000,12000,13000,-5111,12000,8000,-5111,14000,13000,-5111,0,8000,-5111,11000,13000,-5111
230,9000,-45,2000,10000,-45,2000,11000,13000,-5111,11000,8000,-5111,13000,13000,-5111,18000,8000,-5111,10000,13000,-5111
235,9000,-45,3000,10000,-45,3000,10000,13000,-5111,10000,8000,-5111,12000,13000,-5111,16000,8000,-5111,9000,13000,-5111
240,9000,-45,4000,10000,-45,4000,9000,13000,-5111,9000,8000,-5111,11000,13000,-5111,14000,8000,-5111,8000,13000,-5111
245,9000,-45,5000,10000,-45,5000,8000,13000,-5111,8000,8000,-5111,10000,13000,-5111,12000,8000,-5111,7000,13000,-5111
250,9000,-45,6000,10000,-45,6000,7000,13000,-5111,7000,8000,-5111,9000,13000,-5111,10000,8000,-5111,6000,13000,-5111
255,9000,-45,7000,10000,-45,7000,7000,13000,-5111,7000,8000,-5111,8000,13000,-5111,8000,8000,-5111,5000,13000,-5111
260,9000,-45,8000,10000,-45,8000,7000,13000,-5111,7000,8000,-5111,8000,13000,-5111,8000,8000,-5111,4000,13000,-5111
265,9000,-45,9000,10000,-45,9000,7000,13000,-5111,7000,8000,-5111,8000,13000,-5111,8000,8000,-5111,3000,13000,-5111
270,9000,-45,10000,10000,-45,10000,6000,13000,-5111,7000,8000,-5111,8000,13000,-5111,8000,8000,-5111,2000,13000,-5111
275,9000,-45,11000,10000,-45,11000,5000,13000,-5111,7000,8000,-5111,8000,13000,-5111,8000,8000,-5111,1000,13000,-5111
280,9000,-45,12000,10000,-45,12000,4000,13000,-5111,7000,8000,-5111,8000,13000,-5111,8000,8000,-5111,0,13000,-5111
285,9000,-45,13000,10000,-45,13000,3000,13000,-5111,6000,8000,-5111,8000,13000,-5111,8000,8000,-5111,19000,13000,-5111
290,9000,-45,14000,10000,-45,14000,2000,13000,-5111,5000,8000,-5111,8000,13000,-5111,8000,8000,-5111,18000,13000,-5111
295,9000,-45,15000,10000,-45,15000,1000,13000,-5111,4000,8000,-5111,8000,13000,-5111,8000,8000,-5111,17000,13000,-5111
300,9000,-45,16000,10000,-45,16000,0,13000,-5111,3000,8000,-5111,8000,13000,-5111,8000,8000,-5111,16000,13000,-5111
305,9000,-45,17000,10000,-45,17000,19000,13000,-5111,2000,8000,-5111,7000,13000,-5111,6000,8000,-5111,15000,13000,-5111
310,9000,-45,18000,10000,-45,18000,18000,13000,-5111,1000,8000,-5111,6000,13000,-5111,4000,8000,-5111,14000,13000,-5111
315,9000,-45,19000,10000,-45,19000,17000,13000,-5111,1000,8000,-5111,5000,13000,-5111,2000,8000,-5111,13000,13000,-5111
320,9000,-45,0,10000,-45,0,16000,13000,-5111,0,8000,-5111,4000,13000,-5111,0,8000,-5111,12000,13000,-5111
325,9000,-45,0,10000,-45,0,15000,13000,-5111,19000,8000,-5111,3000,13000,-5111,18000,8000,-5111,11000,13000,-5111
330,9000,-45,0,10000,-45,0,14000,13000,-5111,18000,8000,-5111,2000,13000,-5111,16000,8000,-5111,10000,13000,-5111
335,9000,-45,0,10000,-45,0,13000,13000,-5111,17000,8000,-5111,1000,13000,-5111,16000,8000,-5111,9000,13000,-5111
340,9000,-45,0,10000,-45,0,12000,13000,-5111,16000,8000,-5111,0,13000,-5111,14000,8000,-5111,8000,13000,-5111
345,9000,-45,0,10000,-45,0,11000,13000,-5111,15000,8000,-5111,19000,13000,-5111,14000,8000,-5111,7000,13000,-5111
350,9000,-45,0,10000,-45,0,10000,13000,-5111,14000,8000,-5111,18000,13000,-5111,12000,8000,-5111,6000,13000,-5111
355,9000,-45,0,10000,-45,0,9000,13000,-5111,13000,8000,-5111,17000,13000,-5111,10000,8000,-5111,5000,13000,-5111
360,9000,-45,0,10000,-45,0,8000,13000,-5111,12000,8000,-5111,16000,13000,-5111,8000,8000,-5111,4000,13000,-5111
365,9000,-45,0,10000,-45,0,7000,13000,-5111,11000,8000,-5111,15000,13000,-5111,6000,8000,-5111,3000,13000,-5111
370,9000,-45,0,10000,-45,0,6000,13000,-5111,10000,8000,-5111,14000,13000,-5111,4000,8000,-5111,2000,13000,-5111
375,9000,-45,1000,10000,-45,1000,5000,13000,-5111,9000,8000,-5111,13000,13000,-5111,2000,8000,-5111,1000,13000,-5111
380,9000,-45,2000,10000,-45,2000,4000,13000,-5111,8000,8000,-5111,12000,13000,-5111,0,8000,-5111,0,13000,-5111
385,9000,-45,3000,10000,-45,3000,3000,13000,-5111,7000,8000,-5111,11000,13000,-5111,18000,8000,-5111,19000,13000,-5111
390,9000,-45,4000,10000,-45,4000,2000,13000,-5111,6000,8000,-5111,10000,13000,-5111,16000,8000,-5111,18000,13000,-5111
395,9000,-45,5000,10000,-45,5000,1000,13000,-5111,5000,8000,-5111,9000,13000,-5111,14000,8000,-5111,17000,13000,-5111
400,9000,-45,6000,10000,-45,6000,0,13000,-5111,4000,8000,-5111,8000,13000,-5111,12000,8000,-5111,16000,13000,-5111
